,00900,00895,00885,00903,00892,00897,006208,00692,00662,006205,0052,00639,00645,00652,00700,00709,00717,00730,00733,00783,00712,00731,00877,006207,00636,00701,00875,00878,00881,00893,00757,0050,0055,0056,0061,00646,00713,00739,00762,00850,00861,00876,006206,00752,00891,00896,00888,00728,00899,1101,1102,1210,1215,1216,1301,1303,1326,1402,1434,1476,1590,2002,2049,2105,2207,2301,2303,2308,2317,2324,2327,2330,2344,2345,2353,2354,2356,2357,2377,2379,2382,2385,2395,2408,2409,2412,2454,2474,2492,2548,2603,2609,2615,2633,2801,2834,2880,2881,2882,2883,2884,2885,2886,2887,2888,2890,2891,2892,2912,3008,3034,3037,3045,3105,3231,3481,3702,3711,4904,4938,5347,5871,5876,5880,6239,6488,6505,6669,8046,8299,8454,9904,9910,9921,9945
0,unknown,unknown,unknown,unknown,unknown,unknown,富邦台50,富邦公司治理,富邦NASDAQ,富邦上証,富邦科技,富邦深100,富邦日本,富邦印度,富邦恆生國企,富邦歐洲,富邦美國特別股,富邦臺灣優質高息,富邦臺灣中小,unknown,FH富時不動產,FH富時高息低波,unknown,FH滬深,國泰中國A50,國泰臺灣低波動30,unknown,unknown,unknown,unknown,統一FANG+,元大台灣50,元大MSCI金融,元大高股息,元大寶滬深,元大S&P500,元大台灣高息低波,元大MSCI A股,元大全球AI,unknown,unknown,unknown,元大上證50,中信中國50,unknown,unknown,unknown,第一金工業30,unknown,台泥,亞泥,大成,卜蜂,統一,台塑,南亞,台化,遠東新,福懋,儒鴻,亞德客-KY,中鋼,上銀,正新,和泰車,光寶科,聯電,台達電,鴻海,仁寶,國巨,台積電,華邦電,智邦,宏碁,鴻準,英業達,華碩,微星,瑞昱,廣達,群光,研華,南亞科,友達,中華電,聯發科,可成,華新科,華固,長榮,陽明,萬海,台灣高鐵,彰銀,臺企銀,華南金,富邦金,國泰金,開發金,玉山金,元大金,兆豐金,台新金,新光金,永豐金,中信金,第一金,統一超,大立光,聯詠,欣興,台灣大,穩懋,緯創,群創,大聯大,日月光投控,遠傳,和碩,世界,中租-KY,上海商銀,合庫金,力成,環球晶,台塑化,unknown,南電,群聯,富邦媒,寶成,豐泰,巨大,潤泰新
2010+1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11003553166777377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353644500201374,0.20463630269848165,0.16971139793348752,0.07111278616439186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21579072288218187,0.18717456654792422,0.12473785360230229,0.2963536883303469,0.27946494401271044,0.4171878748506527,0.22090817937825236,0.3835164761464656,0.4131595796519564,0.20681051610139,0.6645415894881358,0.0,0.13890788067237314,1.2338024913601515,0.15707952642373837,0.19198356947680767,0.13311508952051707,0.13986398158688487,0.3521345476857728,0.02780214149585043,0.09197791547300344,0.16974280267722508,0.2228623981892926,0.055564168798205284,0.46218225167392785,0.11083760339388,0.12625407240119332,0.08087584588735895,-0.006700966543863855,0.03702777538842057,0.0076952474562165755,0.14702349076696475,-0.009966315787400764,0.21937461113937118,-0.2613580077664527,-0.039045876330658806,0.2475739605537293,-0.016864281404814174,0.46263859025082305,0.07546820193621236,0.22226916993755916,0.41893408833756857,0.8086919671451628,0.3428324335897325,0.0,0.6309696521235215,0.5218505069801871,0.31029278023537193,0.19585066689201416,0.1005451365438462,0.672386628892449,0.4821872260744098,0.24577661082205485,0.28869636092287676,0.41976723836765073,0.22594108968237614,0.2586977194481585,0.26427483316848605,0.5546877751482503,0.45654343150617915,0.4298414986077808,0.11950424692106523,0.26106818366495743,0.2251336405480382,0.0,0.20061634089356542,0.004358894719233221,0.15232193122930082,0.3392144888830935,0.15629252645791716,-0.32967610128183916,0.0,0.0,0.0,0.2577706141464539,0.021439056755438474,0.0,0.2865571665822951,0.0,-0.06102990503666713,0.0,0.0,0.21622105257283658,0.19099369567141344,0.2293506174262307,0.0858758792846765
2011+1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10189255290337695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1133205799351114,-0.16070293466801103,-0.12285270059134899,-0.1426531889972893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09620794483277997,0.08510998143957019,0.020272398671393344,-0.0647993923446148,0.18436663146920557,-0.060450599591667,-0.10541163176880873,-0.05293592342539137,-0.025689299352265063,0.0671793026526656,0.198875622093467,-0.2374800869868579,0.00456156955631328,0.09971604344304844,0.11290557724616718,0.45191593134624203,0.15519503552312722,0.03561567183183558,-0.1821403260311695,-0.010550045755934009,0.08879643987026056,-0.27972050382769875,0.09643999340795736,-0.37225376194232485,-0.035922076780483654,-0.12028668451458364,-0.0772676470023316,-0.05026877328803378,0.07386591339541437,-0.0299516794044044,-0.06974083572321882,0.16824925330019552,0.07694427229360337,0.08478979500481469,-0.5650904659539111,-0.22125392100310745,0.1261285559610929,-0.02787844764043226,-0.06898813586325396,-0.3185734412193668,-0.07974029793405618,-0.12043160157938551,-0.22259794374670583,-0.07015506863860574,0.0,-0.14991961735899656,-0.08986976654594267,-0.07973207919165218,-0.08771823433100036,-0.1615670236227347,-0.09817869641284413,-0.1794989614110002,-0.10099580306291156,-0.032657559815784915,-0.2030320542549516,-0.1963554287680391,-0.14809572460754536,-0.046699945766610455,-0.15103152650653226,0.1425305915593528,-0.2112518612367746,0.02257010461059147,-0.1348949154049007,0.20893283071175509,0.0,0.05090752852509418,-0.3162145577218319,-0.09267081600744115,-0.047332032858330264,0.28543539381918503,0.13134366677712717,0.0,0.0,0.0,-0.10286426438225717,-0.1376140863953074,0.0,0.04844329763419336,0.0,-0.30572680043708855,0.0,0.0,0.057113090816333506,0.01201763635238346,0.10171811767561953,-0.061915827217327336
2012+1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05907145943996717,0.1165794098000607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03756142935847349,0.04748039694560923,-0.02833631827341686,0.05145771902584432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21020606553490845,0.15547966734063315,0.09541484058208023,0.10620248814189286,0.2235562090349946,0.03442564116773407,0.03343746138237903,0.03046619713684485,0.11160865690923319,0.08414828229146579,0.6594407147937815,0.13282895815260898,0.0563202826927939,-0.08950715958810096,0.15601268504461757,0.27582831796988033,0.17217773395185898,-0.03308350604778949,0.2043054839547488,0.06250495453608937,-0.17651343322070528,0.05458421870916208,0.21056226888498436,0.1067177475467574,0.1405146098463804,-0.13500368497783585,-0.10604919056430635,0.08367402816910068,0.25087809709003495,0.1355595767117958,0.16975717366901072,0.03253715610128741,0.2722113885012533,0.2800978287197477,0.19862025866035857,0.09977311695498275,0.11003388847592707,0.16644445701885452,-0.07250638677757151,-0.05431180875862764,0.15095915418165337,0.0468670782923785,0.08938325851339111,0.09379627715039078,0.0,0.07012008494736426,0.028088827029384252,0.13028382682761872,0.21811302679934247,0.08055705453754729,0.023481310570355348,0.11757134545156765,0.0657618306935784,0.11879086851948929,0.13249876217034226,-0.03049539830058754,0.19181880652755942,0.07730770682885839,0.11493824494620472,0.04428637640102532,0.31421620468809797,0.32756834755714237,-0.015861601093497282,0.17007281910828537,0.0,-0.045867267486937806,0.3201402952233743,0.14172294206208075,0.13542259084094307,0.1747756753001441,-0.029940724944111034,0.0,0.5130140408608347,0.0,0.032878757078877996,-0.07855551354859827,0.0,0.020512201070060847,0.0,-0.21124833232163467,0.0,0.0,0.20004105600639516,0.28410952759568386,0.21998027576797727,0.37432956808501155
2013+1,0.0,0.0,0.0,0.0,0.0,0.0,0.03515087474845787,0.0,0.0,-0.0045150242483198546,0.038582843436241514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023556711636380297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09087307921487923,0.14806564520687815,0.049972547533495094,-0.041668594638227426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055954420613535893,0.0,0.0,0.0,0.0,0.0,0.0,0.2562831742447883,0.1325257415569655,0.12268417466943318,0.10274487539875661,0.02610399368463576,0.12194131308042451,0.14623333409450942,0.13811756534101033,0.13878284016369502,0.274876284926325,0.78907572902325,0.4435309070104207,0.07132958558689956,0.25072488203838367,0.04983899357578126,0.3356411528615542,0.08369559151615846,0.04696383811282577,0.3160204628260495,0.12534637062895798,0.21241398624594782,0.10246416208601755,0.04988170095532357,0.13373136445707617,0.0627032661539261,-0.13907940090673546,-0.041942931695802016,0.7199509739774193,0.05927215282445761,0.554750394244733,0.19098485069230922,0.16554166796575698,0.05887731723992361,0.41335678176777774,0.024986732483595224,-0.14436756114731003,0.05158222698480957,0.2621524155874846,0.3842250701193779,0.06397133430574191,0.004793314299609145,0.0349246334372278,0.04847163025105806,0.011243239033000955,-0.14130873703962324,0.13196057570458639,0.0315749692743298,0.1405619946942634,0.10686387571577523,0.2727012462497394,0.09372270705508869,0.1567502541300031,0.20102989764343182,0.12794525374155738,0.20362625111615248,0.08699678367827247,0.14489746208564735,0.20166049686946202,0.1063686433631828,0.12300123640557915,0.36213069825670957,0.05923048498567736,-0.10683252585520278,-0.0014317923337244308,0.0,-0.03755193927662404,-0.2108100419651309,0.07394503705188427,0.14337926863973535,0.05472672473111621,-0.04238727425603552,0.0,0.1709647019227715,0.0,0.056533353228933485,-0.008642847792985403,0.0,0.037512045004675074,0.0,0.042331714954613124,0.0,0.0,0.4557093015918591,0.4492074377491363,0.13436920405518193,0.03961607372886582
2014+1,0.0,0.0,0.0,0.0,0.0,0.0,0.10595493058642476,0.0,0.0,0.5852343119625969,0.13382263086982452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5698698154526204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088707309885102,0.07224464734663669,0.07750211516770655,0.33230904414024315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6924238557834654,0.0,0.0,0.0,0.0,0.0,0.0,0.03224428139964536,0.0742793442757003,0.17369172012642353,0.20337369366928226,0.03804219472585406,-0.017148194644534945,0.010847027818483129,-0.05118443999104617,0.0647073449241112,0.010805941621706141,0.07894536794121385,0.037396474053094785,0.07079031508775897,-0.02685672652156971,0.039428994260585326,0.26009283522066917,-0.09926362866163004,0.1493608815702997,0.03855886882533333,0.044404589872894376,0.04288576445121065,0.39279243951559906,0.18686714347909086,0.1777262837434504,0.0057725814217191185,0.061104603947255545,0.20886904668274592,-0.0798510375814883,0.21476154495291802,0.03594462810467746,0.1925124907998886,0.05620719335045893,0.13234034285222407,0.21224684249218514,0.3689086516814962,0.334352453778408,0.06217885690399692,0.028516271195810298,0.0075638399260139775,0.18391657111690973,-0.12624520193815453,0.2566522959119407,0.29820913790297054,0.7220819411919209,0.0,0.05899017933576217,0.03077060815389644,0.07746617026114794,0.1582001273148107,0.0602941063023557,0.13909926367171563,0.12036174841908583,0.05225323122324249,0.053786753457415064,0.00036222096292449346,-0.006298588321084961,0.05508446340813587,0.07373339696550363,0.0894154498071353,0.13856170200442144,0.339255931289664,0.27645190937604436,0.006377398544896639,0.16819768792838602,0.0,0.15761841147318237,0.2589213149516024,0.07098219974087872,0.11981750594902857,0.19810206348699486,0.49333624405200177,0.0,0.137890699941454,0.0,0.06271775062306052,0.15155398926540986,0.0,-0.032200849068489364,0.0,-0.027785930849859336,0.0,0.0,0.09918221479323362,0.29339152573530447,0.24173112301157512,0.14912902323077204
2015+1,0.0,0.0,0.0,0.0,0.0,0.0,-0.061927301079922815,0.0,0.0,-0.045459402736542066,-0.065773101856549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018269942319390393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033842073590854,-0.07408129794475428,0.0328224018769239,-0.02869267639654437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0363828159557149,0.0,0.0,0.0,0.0,0.0,0.0,-0.19292436119617953,-0.12523654358831385,0.02322684546570909,0.05916202414490252,0.07689523675288631,0.028705719454894533,-0.052613590355790635,0.01601246600518444,-0.10016485146362232,-0.0022961269128297344,0.08694632163955385,-0.16529618648803696,-0.1533692924670111,-0.3034957492647695,-0.11007536620831981,-0.0497028463173385,-0.024700187917323695,-0.020320410599728233,-0.049033156306347164,0.0005860182807735624,-0.05499623073953743,0.08072545584104805,0.047838234254107784,-0.040815972034727664,1.052103650625851,-0.20448159482540865,-0.16417078905141566,0.19110999452444824,-0.016231130656411057,0.5727121495362774,0.16276641654889784,-0.11213941107029834,-0.046106397804400755,-0.05424426443456571,-0.030267882759029363,-0.15709786223233918,0.07122989974811414,-0.1838457221961784,-0.12458870523097713,0.2573664773757615,0.07744521804010825,-0.1781331459596295,-0.24032581231334013,-0.1889379254294373,0.03755119506111597,-0.03361241514343564,-0.05498164413335431,-0.024460060521656602,-0.12979225816820575,-0.046688580769622644,-0.13105536820899397,0.039603058569863035,-0.11477393974653725,-0.050301739922933186,-0.08931423234089857,-0.1282675466577852,-0.13817535613262297,-0.08605444474669147,-0.016286523018994692,-0.0289085542853822,-0.18282436190081747,0.022253942837449053,-0.09924821662129549,0.012445282141724487,0.0,0.027292431120506836,-0.17306186635703702,-0.024367904878309764,0.04497946538497111,-0.06161894329707301,-0.082481629464516,0.0,-0.09192222943592387,-0.06164533171291706,-0.02945005882508756,0.19174174380405665,0.0,0.07704103446437638,0.0,-0.08859282081564904,0.0,-0.08982227950061246,-0.009061189120342055,0.05542677191109989,-0.13435926195405332,0.10249695222337149
2016+1,0.0,0.0,0.0,0.0,0.0,0.0,0.08010311018798122,0.0,0.0,0.0013524155589246592,0.06744260808011619,-0.05732737768233877,0.11900720665453283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008592776689919604,0.012709428226067037,0.0,0.0,0.0,0.0,0.0,0.0,0.10170811142330317,0.17028248597476373,0.1113984220323743,-0.0048049465296583355,0.07751995309549019,0.0,0.0,0.0,0.0,0.0,0.0,0.010092883197031291,0.0,0.0,0.0,0.0,0.0,0.0,0.14042142023982698,0.023144213873475362,0.1970005614607497,0.4720353916113985,-0.04639506999510298,0.15958330141516508,0.20192234153946975,0.21169301514257816,0.051186829795414036,0.03389926045424995,-0.032809563365125194,0.21565246058251802,0.16142335268590116,0.06501816044160631,0.01960983920132872,0.13305901446857635,0.21719344990662476,-0.006671507947340916,0.08076547437867163,0.16198206618413094,-0.01937952065987601,-0.06496799544746461,0.1417931466811054,0.07552094740708297,0.28976473063506664,0.03744800540175145,0.19621341787490149,0.05698941065930785,0.04604294068502588,0.26700956889901445,0.1285709833023561,0.11981573692393177,0.07062029732516388,0.08863656358150844,0.28421780640439587,0.1663577337004953,-0.01037062173097418,-0.003031378404811347,0.010547218365298795,0.22693445529567247,0.11162806245223765,-0.05945998162746394,-0.31325546239122715,0.05002188005497609,0.21059105388597166,0.10784148039619643,0.044064127688776066,0.10385233308085359,0.3106665447000194,0.3086906069978894,0.06830189231775306,0.10199492164655806,0.12424826525236948,0.10576790797463693,0.10492798834857368,0.17052675205388368,0.06644034300562347,0.17510007714786766,0.17163617864951114,0.02017741874809524,0.3569204612905123,0.007650239262085945,-0.08606675201526304,0.026994621903256105,0.0,0.28966448402588274,0.12982272043655524,0.147595397708074,-0.016973460427624324,0.0018993222688421432,0.13529326240285888,0.0,0.09935498114374287,0.04695532867062037,0.07017228413513338,0.2011362266656169,0.0,0.26660920888305284,0.0,-0.09306759524552269,0.0,-0.05037765353146951,-0.0005119276344234284,-0.0683942632147659,-0.06354263511671722,-0.0423155759527417
2017+1,0.0,0.0,0.0,0.0,0.0,0.0,0.11243834664687749,0.0,0.0922481763372699,0.09654814269158961,0.12715394204802166,0.12901003372462483,0.11184292845733919,0.050316798479743796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11309115893562781,0.16478465142404453,0.0,0.0,0.0,0.0,0.0,0.0,0.04911472641716061,0.10788299145650802,0.06065041803803663,0.14200891378501246,0.07878670442095592,0.0,0.0,0.0,0.0,0.0,0.0,0.12710747672960768,0.0,0.0,0.0,0.0,0.0,0.0,0.08213018748676189,0.07032865515714883,0.1443503835041594,0.1263640559370082,0.15361039555695497,0.12933440077156375,0.12262443109008196,0.17805025309877723,0.09829030837142326,0.07300249387426942,-0.026368295223701557,0.48798687522764306,0.034241851609620386,0.4683022042140712,-0.07466018904878662,0.021462349482864476,-0.04822355598630207,0.09346877163884007,-0.06363309161580134,-0.005951738511616399,0.1210738034340867,1.208701798387849,0.1482631547447899,0.350744015640205,0.4647224644492707,0.508767782312422,-0.010353544640684437,0.10376438327599545,0.10357263063127574,0.177465407801692,0.060875915484593666,-0.009449487536425287,0.0439074508356965,-0.01357046028736722,0.3463106785478543,0.0468074175587333,0.07295742638270893,0.19302238787769474,0.10162276553459991,0.7562505615090883,0.13383298002734817,0.060074522498700454,-0.10339045068680783,0.09075471154645737,0.045925217766196326,0.017567307050861018,0.03770473652535836,0.07420157210084942,0.08692333907201164,0.1316330564626514,0.2359406165619307,0.10295456582915255,0.08973132674932444,0.0736483368980568,0.14046605101016743,0.25158383494927533,0.11764258052065771,0.12125848456511222,0.12128225645697321,0.13896341011365312,-0.14861855945788496,0.05150306291537948,0.03843310445280362,0.03538514393106659,0.0,-0.018025946400192516,-0.0882784779815676,0.06864736596214278,0.045059310304195646,0.042335308732899236,-0.06563601917562034,0.0,0.2757681082383373,0.12518709893896748,0.14981655022434975,0.008551184800389145,0.0,0.15628293598914714,0.0,0.066546503756185,0.0,0.05258284694106377,0.011945381323954212,0.09998984499860357,0.036151370610105586,0.06665530197919564
2018+1,0.0,0.0,0.0,0.0,0.0,0.0,-0.007948755478171844,-0.01239136406455879,-0.06582295894194667,-0.13270195704818566,-0.059305127495354895,-0.21726059732336622,-0.11732639257683447,-0.0030268653023052105,-0.09910592562921174,-0.10538180587748537,0.0001293944258660185,0.0,0.0,0.0,0.06784468689459286,0.0,0.0,-0.1550817179503939,-0.13948484342573156,0.002329855397727632,0.0,0.0,0.0,0.0,0.0,-0.052513309470951085,0.020823080865138257,0.024411626267350512,-0.1559778055451202,-0.05799532360789131,0.004599931843532233,0.0,0.0,0.0,0.0,0.0,-0.1293006542946716,0.0,0.0,0.0,0.0,0.0,0.0,0.019082825076809834,0.07464665790079239,0.07689427004347732,0.023526673593760563,0.0422413891500595,0.005778814180588066,-0.015045801522239464,-0.009197686759831385,0.012030922094507719,0.10260618366057608,0.03415003439656652,-0.1425698907398758,0.045899002793275606,-0.22386511280755786,-0.056004663633769984,-0.004638980577941346,0.1384330616199534,-0.1797446998971067,0.135936503217329,-0.226794655970484,-0.008955260218234005,-0.22113166239500448,-0.0008341895169323298,-0.12649966442163718,0.1513614223429797,-0.12837333504721088,-0.11733504594741065,0.014878110199804284,-0.14164278499654734,-0.06504148486470075,0.23884996989163162,0.059362714129109734,-0.011826918184134916,0.03392706379046642,-0.17864276791454883,0.09609254885580222,0.039417099469698146,-0.10922293823621605,-0.22840442876502795,-0.02251409712596483,0.10088295333955194,-0.06350121245159636,-0.06100836718127849,-0.020896820136954247,0.2527630774853699,0.04548018641486091,0.15084661229194524,0.05611676134586473,-0.01767721880574903,-0.0428943462466778,-0.018941119800107042,0.04792691658468663,0.11808141516968554,0.06454399459611697,-0.002648831693010206,-0.14794141223357968,0.10943115326910431,0.012612486476276387,0.05074424766344613,0.08484077726608381,-0.14232546992443745,0.10584765264193581,0.2979716406976885,0.041890955485793184,0.0,-0.02565979577656277,-0.0531736443977108,-0.03685806738838963,-0.16214453705117793,0.03964113934633304,-0.10809488475106117,0.0,0.04463376223525606,0.1683048338377565,0.080414215747249,-0.13327166191603518,0.0,-0.05115894592265553,0.24093253991905705,0.23215268113667906,0.0,-0.07573498934176782,0.00301464270591829,0.18303469457788557,0.06302656859305115,-0.10444016698285953
2019+1,0.0,0.0,0.0,0.0,0.0,0.0,0.14370822578120682,0.12150243364341942,0.05986178983494004,0.03493891186027187,0.27107621491150663,0.10602949622803706,0.07018763019235535,0.009006367741677302,0.024086506908027917,0.06182368067228874,-0.00867250709754318,0.00428553583925956,0.17784331513922688,0.0,-0.004021180295749042,-0.0016061525654212832,0.0,0.0572688785832725,0.05702781391896007,0.06667699882880843,0.0,0.0,0.0,0.0,0.1453034325133636,0.1835541254631035,0.12307124041314145,0.18462537101822715,0.043833452691989364,0.08649802347858884,0.11892169191589631,0.056365381699160604,0.0,0.0,0.0,0.0,0.04506889903156622,0.0596307405382694,0.0,0.0,0.0,0.15097384218102353,0.0,0.23306503819024915,0.2143831984716101,0.2520665391543728,0.11490297319979849,0.019495045765253485,0.03321847875628012,0.05144511294680853,-0.04403649088168237,0.04356555341981216,0.018448469191667226,0.041596577986553085,0.27790420260644294,0.03175800808680373,0.12810042234878855,0.01709013267180787,0.6027835273273329,0.13191132579135195,0.2926082723629822,0.06812237392961833,0.23838696909525367,0.07506071998582355,0.8340861063773618,0.34984802807405224,0.29388367455156683,0.3062674962801324,-0.01061964746646548,0.09404481537366127,0.05398641140159412,0.13041882634143948,0.10664056042924897,0.2163276309101275,0.1817395679917246,0.16869242410931745,0.17633601839397575,0.3919405066076911,0.13909685639889952,0.04982995436253765,0.4283125239039041,0.06218106372656652,0.5235650994922363,0.21811487194702783,0.002391500577996488,-0.10877918463717595,0.075191899167626,0.07104380773959831,0.1795195382371243,0.0818369017808631,0.15443830856196578,0.0952656059792387,0.04469574904084455,0.047990442848541634,0.18875242936336073,0.1716395100503026,0.21059521687872387,0.09306669293399106,0.1631395746797125,0.15049763849514872,0.12239054370924095,0.22152137192249,0.04224364284955016,0.21447780333915795,0.26794264676230084,0.2745489757994821,0.046994893053417044,0.0,0.2363953597442015,0.06069593020958502,0.08678616608280346,0.2745215029177632,0.04212123657791081,0.32558336149580497,0.0,0.15436921786394395,0.08857597423176068,0.09897650708371446,0.33340618087283413,0.0,-0.0371549396013273,0.6520573088274827,0.11478916582008883,0.0,0.14816382378031429,0.07056741447157834,0.005102656127196684,0.03739830325280622,0.08782573827920305
2020+1,0.0,0.0,0.0,0.0,0.0,0.0,0.2633523607861017,0.24519188964486563,0.20880197655441793,0.20963259755953473,0.4443383047697093,0.3172495547909112,0.12911960914284823,0.20087199733976116,0.015138865795244701,0.15241620149783838,0.005797031434250487,0.08766804501252733,0.2428640908945693,0.10544941313311333,0.1339992456173938,0.07650331399283739,0.0,0.22918102831642004,0.24196588358938212,0.07190841511946829,0.0,0.0,0.0,0.0,0.4318031471336098,0.28645439818700874,0.0326672773761774,0.05578789910709271,0.2280707435284745,0.12397454648256293,0.10514639715385013,0.21984986403652224,0.23676852669230206,0.23504351390656436,0.22035790789627502,0.0,0.19511333680275117,0.15109296907866826,0.0,0.0,0.0,0.2570023994245955,0.0,0.1341073670123885,0.09007153335681928,0.2701578379158402,0.1731945409139163,0.02513337223123066,0.19297266459618972,0.16520405303629904,0.19609297118987315,0.15772636437778917,0.03907211334055453,0.26862026671507166,0.5477588329573579,0.2099592576631703,0.37989617022055255,0.22895290271356752,0.07347995837155911,0.15308191685724548,1.4000583949927417,0.6390636088498856,0.23475234216423732,0.17160997234569383,0.4181507121814428,0.49838060587763605,0.992320997984906,0.5505101179563627,0.2974771035552113,0.048731397008577246,0.09369923508807136,0.18704154172987247,0.28531024217520845,0.38570122308218063,0.21608596646939765,0.06513264715791608,0.27028175395272686,0.42102910371341273,0.4611773937789353,0.036658226987097475,0.5304376391142708,0.1433841577245938,0.2866415459980533,0.08467536334214847,2.1517580927115096,2.9343545254774983,1.8707310271225859,-0.0056982547495461056,-0.019384961062936627,-0.014930361983004715,0.023732094960543317,0.1413258390856714,0.11902869950234488,0.1392631445494089,0.04068840905630061,0.20884948859140348,0.06482987629625835,0.08152472162047289,0.09562580628797207,0.05993025563921767,0.05752092473432302,0.05817528395483847,-0.016910669697264763,-0.12272930185415235,0.6377841547417549,0.7538651343233495,0.0019463456106179678,0.0,0.13249640563811574,0.7719094382427564,0.15640454488740116,0.25427170089500395,0.008492705139654467,0.13571233607375421,0.0,0.3987655918887922,0.015499441540732808,0.07459372908749427,0.054018262764782554,0.0,0.1865049418916001,-0.013467536017806606,1.4252383444122447,0.0,0.27041416229657955,0.14088430455275783,0.3114923452894101,0.2533623582657994,0.30604766444891124
2021+1,0.0,0.0,0.0,0.0,0.0,0.0,0.043797955483028145,0.0345698396608371,0.12831193550349632,-0.018732263276085126,0.06771301381782967,-0.010318380407309329,0.03107165195858182,0.06861896999533028,-0.17216749761481806,0.032613978849183094,-0.010576867831928122,-0.025225668742129077,0.10052259952533858,0.06870137252343099,-0.043809268228411094,0.0529296505955465,0.0,-0.001260965703509311,-0.047336826212517356,0.12083295316803194,-0.011206781879902013,0.05925623012689934,0.07745716959460656,0.0,0.0386513889738179,0.06449915013328704,0.15783781434035057,0.013305888827717782,-0.025034647463511816,0.11017619465259397,0.038275736873260656,0.0016551557139595206,0.12028544480488151,0.05900986295322037,0.12931616265990512,0.1342597504250252,-0.04325111982198361,-0.21428533000685232,0.0,0.0,0.0,0.11672691740900594,0.0,0.09087933043212423,0.05043331801432225,0.056188548634305314,0.03621046331968928,0.0334764095802555,0.05707968439159182,0.07609187589650168,0.0035604627284452827,0.0424727811618596,-0.008497471556294418,0.189806421900597,0.08826806309413271,0.12040883114187977,-0.10708639371226018,-0.08615256628203984,0.07295588979198127,0.14545786433986563,0.17508226696988563,0.011683864424370102,-0.02874069153903175,0.08438884218921845,-0.043431753307572936,0.0551097659768906,0.11171770898219387,-0.05370785786538416,0.21086072897436056,-0.010624395668119443,0.061856231360252194,0.18446305250486209,0.1224709574706321,0.19329457594736876,0.18778881416941529,0.01615115708736372,0.13743716239101592,0.02759822837498267,0.16262415186793958,0.0855841956608173,0.3066706837828643,-0.040679696853659714,-0.11717491797073668,0.09070343042113743,0.9274014705342545,0.9296105351084055,1.05844633486646,0.033358368589297256,0.047210360514225405,0.07098474983318731,0.1418675906228041,0.29604832876669607,0.25294215665940234,0.4501459417490372,0.14514727680029876,0.10096248127213484,0.17046351734794973,0.31028025521362046,0.22349682813157318,0.2787337965120113,0.22132330364053954,0.1576245606844116,0.05625780172631615,-0.0192544874431223,0.17448060330028226,0.9071108506110176,0.0679314160624667,0.0,0.04901307705587242,0.09940511721771421,0.14287467543432908,0.036813032339974544,0.0830768290890885,0.04084815202673915,0.0,0.328004100138907,0.14444666955700883,0.24788940367096177,0.002538233127730583,0.0,-0.025270823862439753,0.26226445136265614,0.5961512732808193,0.0,0.59585988689037,0.004549687776870447,0.12955692844497452,0.1506869126632521,0.546013964434697
